,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
349,Jao Daniel Elamparo,Sandwich,,,,49.0,49.0,49.0
350,John Musker,"Hercules, Aladdin, The Little Mermaid, The Princess and the Frog, Treasure Planet, Moana",687228908.0,110041363.0,338736972.5,80.0,71.0,74.66666666666667
351,Léa Mysius,The Five Devils,497028.0,497028.0,497028.0,67.0,67.0,67.0
352,Sean King O'Grady,The Mill,,,,53.0,53.0,53.0
353,Alexandre Bustillo,"Inside, Leatherface, The Deep House",1899068.0,792184.0,1389365.0,67.0,50.0,56.666666666666664
354,Kazuyoshi Kumakiri,#Manhole,16883.0,16883.0,16883.0,59.0,59.0,59.0
355,Gustavo Loza,Welcome al Norte,1010543.0,1010543.0,1010543.0,71.0,71.0,71.0
356,Ka-Wai Kam,Sakra,728930.0,728930.0,728930.0,57.0,57.0,57.0
357,Bennett Miller,"Moneyball, Foxcatcher, Capote",110206216.0,19206513.0,59580044.666666664,76.0,70.0,73.0
358,Peter Jackson,"King Kong, The Hobbit: The Desolation of Smaug, The Hobbit: The Battle of the Five Armies, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King, Dead Alive, Heavenly Creatures, The Frighteners, The Lord of the Rings: The Two Towers, The Hobbit: An Unexpected Journey, They Shall Not Grow Old, Bad Taste, The Lovely Bones, Meet the Feebles",1156034881.0,242623.0,553879003.9166666,90.0,65.0,76.14285714285714
359,John Crowley,"Brooklyn, The Goldfinch, We Live in Time",62402155.0,10032621.0,36217388.0,75.0,64.0,69.5
360,John Krokidas,Kill Your Darlings,1877924.0,1877924.0,1877924.0,64.0,64.0,64.0
361,Carter Smith,"The Passenger, The Ruins, Swallowed",22818256.0,22818256.0,22818256.0,63.0,53.0,58.333333333333336
362,Vivek Agnihotri,The Vaccine War,38286.0,38286.0,38286.0,76.0,76.0,76.0
363,Satyajit Ray,Pather Panchali,135342.0,135342.0,135342.0,82.0,82.0,82.0
364,Rob Minkoff,"The Haunted Mansion, Stuart Little, The Lion King, The Forbidden Kingdom, Mr. Peabody & Sherman, Paws of Fury: The Legend of Hank",968511805.0,42431358.0,316309874.3333333,85.0,52.0,64.5
365,Bridget Smith,"The Retaliators, 7th Secret",9980.0,9980.0,9980.0,53.0,36.0,44.5
366,Rod Hardy,December Boys,1175579.0,1175579.0,1175579.0,65.0,65.0,65.0
367,Barbara Kopple,Havoc,371000.0,371000.0,371000.0,55.0,55.0,55.0
368,James Kent,"The Aftermath, Testament of Youth",9215591.0,5874883.0,7545237.0,72.0,63.0,67.5
369,Anthony Mann,"Spartacus, Quo Vadis, El Cid",1844917.0,101486.0,973201.5,79.0,71.0,74.0
370,Chloe Okuno,"Watcher, V/H/S/94",3199952.0,3199952.0,3199952.0,63.0,55.0,59.0
371,Mitja Okorn,Life in a Year,43862.0,43862.0,43862.0,62.0,62.0,62.0
